[NÚMERO DE SERIES]
7

[NÚMERO DE REGISTROS]
16802

[VALOR DE DATOS FALTANTES]
-9999

[COORDENADAS X]
711505.202714 743514.182235 743452.700708 713949.957734 712890.563892 740998.343372 736963.676353

[COORDENADAS Y]
9675403.21389 9702309.26183 9704336.42371 9685345.21764 9682859.7167 9702845.20844 9702775.18491

[COORDENADAS Z]
2966.0 2894.0 2957.0 3021.0 2826.0 2810.0 2953.0

[MATRIZ DE DATOS]
Año Mes Día  SUSTAG CEBOLLAR Llaucay Nudpud TIXAN Uchucupun Zhindilig
1980 5 30 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 5 31 10645.1 78273.6 3888 3888 49965.6 6912 2592
1980 6 1 10883 78373.6 3888 3888 49249 6912 2592
1980 6 2 10883 78373.6 3888 3888 49249 6912 2592
1980 6 3 10883 78373.6 3888 3888 49249 6912 2592
1980 6 4 10883 78373.6 3888 3888 49249 6912 2592
1980 6 5 10883 78373.6 3888 3888 49249 6912 2592
1980 6 6 10883 78373.6 3888 3888 49249 6912 2592
1980 6 7 10883 78373.6 3888 3888 49249 6912 2592
1980 6 8 10883 78373.6 3888 3888 49249 6912 2592
1980 6 9 10883 78373.6 3888 3888 49249 6912 2592
1980 6 10 10883 78373.6 3888 3888 49249 6912 2592
1980 6 11 10883 78373.6 3888 3888 49249 6912 2592
1980 6 12 10883 78373.6 3888 3888 49249 6912 2592
1980 6 13 10883 78373.6 3888 3888 49249 6912 2592
1980 6 14 10883 78373.6 3888 3888 49249 6912 2592
1980 6 15 10883 78373.6 3888 3888 49249 6912 2592
1980 6 16 10883 78373.6 3888 3888 49249 6912 2592
1980 6 17 10883 78373.6 3888 3888 49249 6912 2592
1980 6 18 10883 78373.6 3888 3888 49249 6912 2592
1980 6 19 10883 78373.6 3888 3888 49249 6912 2592
1980 6 20 10883 78373.6 3888 3888 49249 6912 2592
1980 6 21 10883 78373.6 3888 3888 49249 6912 2592
1980 6 22 10883 78373.6 3888 3888 49249 6912 2592
